LBound	RBound	NodeID	ParentID	NodeName
1	1382	1		The World
2	37	2	1	Africa
38	313	20	1	Americas
314	353	158	1	Asia
354	1195	178	1	Europe
1196	1381	599	1	Oceania
3	4	3	2	Algeria
5	8	4	2	Morocco
9	34	6	2	South Africa
35	36	19	2	Tunisia
39	54	21	20	Argentina
55	118	29	20	Brazil
119	148	61	20	Canada
149	150	76	20	Chile
151	154	77	20	Mexico
155	308	79	20	United States
309	312	156	20	Venezuela
315	326	159	158	India
327	344	165	158	Israel
345	346	174	158	Lebanon
347	352	175	158	Palestinian territories
355	376	179	178	Austria
377	388	190	178	Bulgaria
389	550	196	178	Croatia
551	554	277	178	Cyprus
555	558	279	178	Czech Republic
559	702	281	178	France
703	704	353	178	Georgia
705	750	354	178	Germany
751	800	377	178	Greece
801	856	402	178	Hungary
857	1014	430	178	Italy
1015	1016	509	178	Luxembourg
1017	1026	510	178	Moldova
1027	1032	515	178	Poland
1033	1064	518	178	Portugal
1065	1070	534	178	Republic of Macedonia
1071	1086	537	178	Romania
1087	1094	545	178	Russia
1095	1104	549	178	Serbia and Montenegro
1105	1110	554	178	Slovakia
1111	1118	557	178	Slovenia
1119	1150	561	178	Spain
1151	1170	577	178	Switzerland
1171	1172	587	178	Turkey
1173	1178	588	178	Ukraine
1179	1194	591	178	United Kingdom
1197	1336	600	599	Australia
1337	1380	671	599	New Zealand
6	7	5	4	Atlas Mountains
10	11	7	6	Breede River Valley
12	13	8	6	Constantia
14	15	9	6	Durbanville
16	17	10	6	Elgin
18	19	11	6	Elim
20	21	12	6	Franschoek
22	23	13	6	Little Karoo
24	25	14	6	Orange River Valley
26	27	15	6	Paarl
28	29	16	6	Robertson
30	31	17	6	Stellenbosch
32	33	18	6	Swartland
40	41	22	21	Catamarca Province
42	43	23	21	La Rioja Province
44	45	24	21	Mendoza Province
46	47	25	21	Neuquén Province
48	49	26	21	Río Negro Province
50	51	27	21	Salta Province
52	53	28	21	San Juan Province
56	63	30	29	Bahia
64	67	34	29	Mato Grosso
68	77	36	29	Minas Gerais
78	87	41	29	Paraná
88	95	46	29	Pernambuco
96	103	50	29	Rio Grande do Sul
104	111	54	29	Santa Catarina
112	117	58	29	São Paulo
120	129	62	61	British Columbia
130	133	67	61	Nova Scotia
134	143	69	61	Ontario
144	147	74	61	Quebec
152	153	78	77	Baja California
156	159	80	79	Arizona
160	165	82	79	Arkansas
166	189	85	79	California
190	193	97	79	Colorado
194	201	99	79	Michigan
202	209	103	79	Missouri
210	219	107	79	New York
220	223	112	79	North Carolina
224	237	114	79	Ohio
238	241	121	79	Oklahoma
